Step,Time,Wall,ForceX,ForceY,ForceZ
117,5.85,5,0.140581,0.00158449,6.01119e-12
118,5.9,5,0.140454,0.00158122,5.65592e-12
119,5.95,5,0.140329,0.00158102,5.48361e-12
120,6.,5,0.140207,0.00158043,6.40021e-12
121,6.05,5,0.140088,0.00157689,5.83711e-12
122,6.1,5,0.13997,0.00157286,6.24745e-12
123,6.15,5,0.139856,0.00157124,6.07869e-12
124,6.2,5,0.139743,0.00157052,6.00942e-12
125,6.25,5,0.139632,0.00156783,5.63816e-12
126,6.3,5,0.139524,0.00156382,6.08225e-12
127,6.35,5,0.139417,0.00156119,6.20304e-12
128,6.4,5,0.139312,0.00156003,6.34515e-12
129,6.45,5,0.139209,0.00155799,6.76437e-12
130,6.5,5,0.139108,0.00155442,6.24922e-12
131,6.55,5,0.139008,0.00155128,6.29541e-12
132,6.6,5,0.13891,0.00154959,6.24034e-12
133,6.65,5,0.138814,0.00154789,5.75717e-12
134,6.7,5,0.138719,0.00154492,6.06448e-12
135,6.75,5,0.138625,0.0015417,5.87086e-12
136,6.8,5,0.138533,0.00153957,6.70575e-12
137,6.85,5,0.138442,0.00153798,6.55298e-12
138,6.9,5,0.138352,0.0015356,6.19238e-12
139,6.95,5,0.138264,0.00153262,6.03251e-12
140,7.,5,0.138177,0.00153025,5.6346e-12
141,7.05,5,0.138092,0.00152864,5.83888e-12
142,7.1,5,0.138007,0.00152675,6.38778e-12
143,7.15,5,0.137924,0.0015242,6.4837e-12
144,7.2,5,0.137842,0.00152186,5.78915e-12
145,7.25,5,0.137761,0.00152023,5.76605e-12
146,7.3,5,0.137681,0.00151871,5.82112e-12
147,7.35,5,0.137602,0.00151669,6.01474e-12
148,7.4,5,0.137524,0.00151458,5.9881e-12
149,7.45,5,0.137448,0.00151302,5.97566e-12
150,7.5,5,0.137372,0.0015118,5.8975e-12
151,7.55,5,0.137298,0.00151031,6.14619e-12
152,7.6,5,0.137224,0.00150861,6.34515e-12
153,7.65,5,0.137152,0.00150724,5.86198e-12
154,7.7,5,0.13708,0.00150629,6.30429e-12
155,7.75,5,0.13701,0.00150531,6.05738e-12
156,7.8,5,0.13694,0.00150411,6.10001e-12
157,7.85,5,0.136871,0.00150304,5.95435e-12
158,7.9,5,0.136804,0.00150237,5.90106e-12
159,7.95,5,0.136737,0.00150185,5.82645e-12
160,8.,5,0.136671,0.00150118,5.90106e-12
