increment,energy
0.000000,0.000000e+00
0.066667,7.109003e-03
0.133333,2.823855e-02
0.200000,6.187436e-02
0.266667,1.058240e-01
0.333333,1.580096e-01
0.400000,2.163001e-01
0.466667,2.790225e-01
0.533333,3.454614e-01
0.600000,4.157940e-01
0.666667,4.907179e-01
0.733333,5.711269e-01
0.800000,6.579295e-01
0.866667,7.519636e-01
0.933333,8.539574e-01
1.000000,9.645136e-01
