205 14
0.000000000000E+00 0.000000000000E+00 0.000000000000E+00 0.000000000000E+00 7.179008029304E-31 7.179008029304E-31 7.179008029304E-31 3.230553613187E-31 0.000000000000E+00 0.000000000000E+00 0.000000000000E+00 -1.829379134658E-33 0.000000000000E+00 1.066851257891E-01
2.185750964000E-05 3.859880951139E-03 1.022205052658E-09 0.000000000000E+00 2.934407604273E-09 2.934407604273E-09 2.934407604273E-09 -1.320483421923E-09 0.000000000000E+00 0.000000000000E+00 0.000000000000E+00 7.477456563031E-12 2.148072596979E-08 9.982175011964E-02
7.327488129000E-05 1.293994531398E-02 1.139636601650E-08 0.000000000000E+00 1.130013883590E-07 1.130013883590E-07 1.130013883590E-07 -5.085062476154E-08 0.000000000000E+00 0.000000000000E+00 0.000000000000E+00 2.879704441637E-10 2.156994598183E-06 9.692472027391E-02
1.540928060000E-04 2.721100002367E-02 5.045959894221E-08 0.000000000000E+00 1.082086442189E-06 1.082086442189E-06 1.082086442189E-06 -4.869388989852E-07 0.000000000000E+00 0.000000000000E+00 0.000000000000E+00 2.758894103346E-09 3.071530531941E-05 9.248662964027E-02
2.643117914000E-04 4.666441482957E-02 1.489340379839E-07 0.000000000000E+00 5.628400074474E-06 5.628400074474E-06 5.628400074474E-06 -2.532780033513E-06 0.000000000000E+00 0.000000000000E+00 0.000000000000E+00 1.437692689384E-08 1.501821277931E-04 8.745472181351E-02
4.039403866000E-04 7.126275358731E-02 3.485106033744E-07 0.000000000000E+00 2.055754308391E-05 2.055754308391E-05 2.055754308391E-05 -9.250894387760E-06 0.000000000000E+00 0.000000000000E+00 0.000000000000E+00 5.279367831260E-08 3.747550128117E-04 8.322183473839E-02
5.729902186000E-04 1.008849013915E-01 7.021767233631E-07 0.000000000000E+00 5.896074901976E-05 5.896074901976E-05 5.896074901976E-05 -2.653233705889E-05 0.000000000000E+00 0.000000000000E+00 0.000000000000E+00 1.533102828399E-07 6.893671875857E-04 7.863303275060E-02
7.714756066000E-04 1.352353775508E-01 1.270071883928E-06 0.000000000000E+00 1.404470843706E-04 1.404470843706E-04 1.404470843706E-04 -6.320118796676E-05 0.000000000000E+00 0.000000000000E+00 0.000000000000E+00 3.742448325736E-07 1.094494438609E-03 7.337849337563E-02
9.994135471000E-04 1.737287577352E-01 2.113446008549E-06 0.000000000000E+00 2.870184227390E-04 2.870184227390E-04 2.870184227390E-04 -1.291582902326E-04 0.000000000000E+00 0.000000000000E+00 0.000000000000E+00 7.975950804487E-07 1.583305387147E-03 6.803918789721E-02
1.256824005000E-03 2.154124333813E-01 3.286504269223E-06 0.000000000000E+00 5.147709417387E-04 5.147709417387E-04 5.147709417387E-04 -2.316469237824E-04 0.000000000000E+00 0.000000000000E+00 0.000000000000E+00 1.525086432502E-06 2.153241699153E-03 6.281752135773E-02
1.543728053000E-03 2.589905799857E-01 4.822288607675E-06 0.000000000000E+00 8.256812649593E-04 8.256812649593E-04 8.256812649593E-04 -3.715565692317E-04 0.000000000000E+00 0.000000000000E+00 0.000000000000E+00 2.673290509018E-06 2.801834210055E-03 5.889840181931E-02
